step,x,y,reward,done,action
0,0,0,0.0,False,0
1,0,0,-1.5,False,2
2,0,0,-1.5,False,0
3,0,0,-1.5,False,0
4,0,0,-1.5,False,3
5,0,1,0.0,False,0
6,0,1,-1.5,False,0
7,0,1,-1.5,False,2
8,0,0,0.0,False,1
9,0,0,-1.5,False,0
10,0,0,-1.5,False,2
11,0,0,-1.5,False,2
12,0,0,-1.5,False,0
13,0,0,-0.5,False,0
14,0,0,-0.5,False,3
15,0,1,0.0,False,0
16,0,1,-0.5,False,3
17,0,2,0.0,False,2
18,0,1,0.0,False,1
19,1,1,0.0,False,3
20,1,2,0.0,False,2
21,1,1,0.0,False,1
22,2,1,0.0,False,1
23,2,1,-0.5,False,0
24,1,1,0.0,False,1
25,2,1,0.0,False,1
26,2,1,-0.5,False,2
27,2,0,0.0,False,3
28,2,1,0.0,False,2
29,2,0,0.0,False,2
30,2,0,-0.5,False,2
31,2,0,-0.5,False,3
32,2,1,0.0,False,3
33,2,2,0.0,False,3
34,2,3,0.0,False,1
35,3,3,0.0,False,2
36,3,2,0.0,False,3
37,3,3,0.0,False,3
38,3,4,0.0,False,1
39,3,4,-0.5,False,1
40,3,4,-0.5,False,3
41,3,5,0.0,False,0
42,2,5,0.0,False,2
43,2,4,0.0,False,3
44,2,5,0.0,False,0
45,1,5,0.0,False,3
46,1,6,0.0,False,0
47,0,6,0.0,False,3
48,0,7,0.0,False,2
49,0,6,0.0,False,0
50,0,6,-0.5,False,3
51,0,7,0.0,False,3
52,0,7,-0.5,False,0
53,0,7,-0.5,False,2
54,0,6,0.0,False,2
55,0,5,0.0,False,0
56,0,5,-0.5,False,0
57,0,5,-0.5,False,0
58,0,5,-0.5,False,2
59,0,5,-0.5,False,3
60,0,6,0.0,False,3
61,0,7,0.0,False,1
62,1,7,0.0,False,3
63,1,7,-0.5,False,1
64,1,7,-0.5,False,2
65,1,6,0.0,False,1
66,2,6,0.0,False,2
67,2,5,0.0,False,3
68,2,6,0.0,False,1
69,3,6,0.0,False,2
70,3,5,0.0,False,2
71,3,4,0.0,False,2
72,3,3,0.0,False,0
73,2,3,0.0,False,0
74,2,3,-0.5,False,1
75,3,3,0.0,False,0
76,2,3,0.0,False,0
77,2,3,-0.5,False,0
78,2,3,-0.5,False,3
79,2,4,0.0,False,3
80,2,5,0.0,False,3
81,2,6,0.0,False,0
82,1,6,0.0,False,0
83,0,6,0.0,False,2
84,0,5,0.0,False,0
85,0,5,-0.5,False,0
86,0,5,-0.5,False,0
87,0,5,-0.5,False,3
88,0,6,0.0,False,2
89,0,5,0.0,False,1
90,1,5,0.0,False,0
91,0,5,0.0,False,1
92,1,5,0.0,False,1
93,2,5,0.0,False,0
94,1,5,0.0,False,3
95,1,6,0.0,False,1
96,2,6,0.0,False,2
97,2,5,0.0,False,0
98,1,5,0.0,False,2
99,1,4,0.0,False,1
100,2,4,0.0,False,2
101,2,3,0.0,False,2
102,2,2,0.0,False,1
103,3,2,0.0,False,1
104,3,2,-0.5,False,3
105,3,3,0.0,False,1
106,3,3,-0.5,False,3
107,3,4,0.0,False,0
108,2,4,0.0,False,1
109,3,4,0.0,False,0
110,2,4,0.0,False,0
111,1,4,0.0,False,2
112,1,4,-0.5,False,1
113,2,4,0.0,False,3
114,2,5,0.0,False,2
115,2,4,0.0,False,3
116,2,5,0.0,False,1
117,3,5,0.0,False,1
118,3,5,-0.5,False,0
119,2,5,0.0,False,0
120,1,5,0.0,False,0
121,0,5,0.0,False,2
122,0,5,-0.5,False,2
123,0,5,-0.5,False,0
124,0,5,-0.5,False,3
125,0,6,0.0,False,3
126,0,7,0.0,False,1
127,1,7,0.0,False,2
128,1,6,0.0,False,0
129,0,6,0.0,False,1
130,1,6,0.0,False,2
131,1,5,0.0,False,2
132,1,4,0.0,False,2
133,1,4,-0.5,False,1
134,2,4,0.0,False,2
135,2,3,0.0,False,3
136,2,4,0.0,False,1
137,3,4,0.0,False,2
138,3,3,0.0,False,2
139,3,2,0.0,False,0
140,2,2,0.0,False,1
141,3,2,0.0,False,3
142,3,3,0.0,False,1
143,3,3,-0.5,False,0
144,2,3,0.0,False,0
145,2,3,-0.5,False,0
146,2,3,-0.5,False,2
147,2,2,0.0,False,1
148,3,2,0.0,False,2
149,3,2,-0.5,False,1
150,3,2,-0.5,False,0
151,2,2,0.0,False,1
152,3,2,0.0,False,1
153,3,2,-0.5,False,3
154,3,3,0.0,False,2
155,3,2,0.0,False,0
156,2,2,0.0,False,3
157,2,3,0.0,False,2
158,2,2,0.0,False,0
159,1,2,0.0,False,0
160,0,2,0.0,False,2
161,0,1,0.0,False,3
162,0,2,0.0,False,2
163,0,1,0.0,False,3
164,0,2,0.0,False,0
165,0,2,-0.5,False,2
166,0,1,0.0,False,2
167,0,0,0.0,False,0
168,0,0,-0.5,False,2
169,0,0,-0.5,False,2
170,0,0,-0.5,False,3
171,0,1,0.0,False,2
172,0,0,0.0,False,0
173,0,0,-0.5,False,0
174,0,0,-0.5,False,0
175,0,0,-0.5,False,3
176,0,1,0.0,False,1
177,1,1,0.0,False,1
178,2,1,0.0,False,2
179,2,0,0.0,False,0
180,2,0,-0.5,False,1
181,3,0,0.5,True,2
